"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"131","host_zero",-0.402733231595343,0.234162327175039,75.9565630666329,-1.71988908913728,0.0895249078159147,"Bacteroides","host_zero",0.256981569917626,0.256981569917626
"132","molysis",0.0182602656473234,0.234091237684368,75.7962196532259,0.0780049088037386,0.938029707113208,"Bacteroides","molysis",0.997270903740972,0.997270903740972
"133","qiaamp",-0.254207586120125,0.23384288318143,75.2872676026561,-1.08708711875954,0.28046644584337,"Bacteroides","qiaamp",0.534454159971218,0.534454159971218
"134","Nasal",-0.0863630765217266,0.401291165515633,17.86401892212,-0.215213002286645,0.832039167243253,"Lachnoanaerobaculum","sample_type",0.983888428601341,0.983888428601342
"135","Sputum",0.553094910355632,0.454606526668614,16.584743933544,1.21664533593203,0.240770831237183,"Lachnoanaerobaculum","sample_type",0.49265416237762,0.49265416237762
"136","lypma",-0.252273070861405,0.245161745950002,71.5008261621293,-1.02900666612504,0.306944973747763,"Lachnoanaerobaculum","lypma",0.549042612479317,0.549042612479317
"137","benzonase",0.230003215925135,0.246066372892019,71.8513381445863,0.934720226993663,0.353063325134774,"Lachnoanaerobaculum","benzonase",0.602018233883653,0.602018233883653
"138","host_zero",0.143558743941131,0.246066372892019,71.8513381436821,0.583414719589208,0.561441042296831,"Lachnoanaerobaculum","host_zero",0.835876775658342,0.835876775658342
"139","molysis",0.0307437664815948,0.245808902543583,71.7476502933569,0.125071818650441,0.900816475651753,"Lachnoanaerobaculum","molysis",0.984728147356299,0.984728147356299
"140","qiaamp",-0.00640400076252528,0.245038494175778,71.476216013927,-0.0261346723667481,0.979222751903372,"Lachnoanaerobaculum","qiaamp",0.999321164630346,0.999321164630346
"141","Nasal",-0.0729394814756616,0.494194398318028,17.7724086972379,-0.147592691709798,0.884325745690986,"Bulleidia","sample_type",0.983888428601341,0.983888428601342
"142","Sputum",0.900941828124103,0.559784687596582,16.4903636436166,1.60944350227276,0.126494008059562,"Bulleidia","sample_type",0.315444432598533,0.315444432598533
"143","lypma",-0.333995852645984,0.302869012925422,71.431145575824,-1.10277327290734,0.273827199869815,"Bulleidia","lypma",0.530374042466293,0.530374042466293
"144","benzonase",0.383410244897895,0.30398396177545,71.7847976096697,1.2612844528328,0.211289899975492,"Bulleidia","benzonase",0.455700919406602,0.455700919406602
"145","host_zero",0.0163743270193093,0.30398396177545,71.7847976070466,0.0538657596396644,0.957191746356122,"Bulleidia","host_zero",0.997270903740972,0.997270903740972
"146","molysis",0.472382531902536,0.303666663216327,71.6801776900516,1.55559562218398,0.12420875426454,"Bulleidia","molysis",0.314612159319894,0.314612159319894
"147","qiaamp",-0.0441560615972552,0.302716932070957,71.4062521411328,-0.145865846667953,0.88443828748952,"Bulleidia","qiaamp",0.983888428601341,0.983888428601342
"148","Nasal",-0.0839611125847265,0.631307160437317,17.195902531636,-0.132995660189511,0.895740769482245,"UBA7748","sample_type",0.984728147356299,0.984728147356299
"149","Sputum",1.10894471372031,0.723374521528626,16.679153856081,1.53301599754565,0.144020087941779,"UBA7748","sample_type",0.340813328878184,0.340813328878184
"150","lypma",-0.0953823795775302,0.24580696915062,69.9724410232949,-0.388037735085875,0.699166134222528,"UBA7748","lypma",0.937739304675465,0.937739304675465
"151","benzonase",-0.156080114652249,0.246928853344387,70.1448278331779,-0.632085366040909,0.52938595990941,"UBA7748","benzonase",0.803246008112333,0.803246008112333
"152","host_zero",0.263639412429372,0.246928853344387,70.1448278312488,1.0676735782743,0.289328567803968,"UBA7748","host_zero",0.534454159971218,0.534454159971218
"153","molysis",0.345292442008904,0.246607026747156,70.0941277585385,1.40017276297212,0.165872491044077,"UBA7748","molysis",0.382561409980269,0.382561409980269
"154","qiaamp",-0.273342220008587,0.245670139434539,69.9629907553344,-1.11263916989562,0.269671886737285,"UBA7748","qiaamp",0.524873574674033,0.524873574674033
"155","Nasal",-0.197091676182216,0.457668821983832,18.2176415512066,-0.430642566666206,0.671780185373205,"Lancefieldella","sample_type",0.917946212205167,0.917946212205167
"156","Sputum",1.36250380517195,0.514320292268579,16.4067035632256,2.64913484000831,0.017233934772896,"Lancefieldella","sample_type",0.093187892164449,0.093187892164449
"157","lypma",-0.0856387176767293,0.33249106109561,72.3135208670845,-0.257566977573882,0.797472659882277,"Lancefieldella","lypma",0.975596495701065,0.975596495701065
"158","benzonase",0.100309388931829,0.333538175094965,72.7503197248348,0.300743352401174,0.764468020958439,"Lancefieldella","benzonase",0.965261836589928,0.965261836589928
"159","host_zero",0.727415804298837,0.333538175094965,72.7503197250291,2.18090719028408,0.0324238537415972,"Lancefieldella","host_zero",0.133376949874508,0.133376949874508
"160","molysis",0.433639088479327,0.333242382580878,72.6212844723748,1.30127232052809,0.197278615665994,"Lancefieldella","molysis",0.434884904147687,0.434884904147687
"161","qiaamp",0.505143107756224,0.332337514316928,72.2773887006898,1.51997016886424,0.132881193960507,"Lancefieldella","qiaamp",0.32527359748615,0.32527359748615
